Energy	ln(density of states)
-14568	529.431596	3849.068025
-14564	530.386095	3848.594479
-14560	531.293535	3847.972422
-14556	532.267808	3847.339374
-14552	533.241640	3846.883746
-14548	534.205583	3846.234587
-14544	535.159914	3845.626523
-14540	536.100053	3845.114048
-14536	537.050264	3844.540991
-14532	538.017915	3843.932056
-14528	538.979036	3843.366003
-14524	539.906190	3842.817763
-14520	540.853593	3842.251546
-14516	541.783098	3841.585327
-14512	542.770250	3841.098648
-14508	543.735872	3840.465934
-14504	544.641603	3839.880434
-14500	545.629304	3839.290360
-14496	546.578401	3838.858521
-14492	547.534151	3838.203729
-14488	548.443086	3837.552942
-14484	549.410875	3836.979872
-14480	550.381364	3836.512002
-14476	551.311525	3835.943504
-14472	552.249879	3835.362145
-14468	553.214067	3834.743161
-14464	554.168092	3834.194101
-14460	555.076570	3833.617016
-14456	556.043519	3832.971433
-14452	556.984758	3832.434081
-14448	557.910188	3831.884280
-14444	558.872056	3831.238580
-14440	559.795732	3830.657369
-14436	560.743639	3830.142189
-14432	561.683137	3829.516047
-14428	562.621660	3828.845264
-14424	563.554201	3828.334361
-14420	564.492052	3827.830573
-14416	565.409441	3827.195206
-14412	566.402254	3826.626488
-14408	567.339876	3826.090909
-14404	568.270174	3825.473325
-14400	569.216371	3824.874865
-14396	570.153810	3824.327229
-14392	571.092500	3823.782133
-14388	572.027956	3823.162600
-14384	572.955247	3822.561209
-14380	573.883180	3822.013710
-14376	574.853059	3821.418268
-14372	575.799104	3820.832227
-14368	576.696641	3820.302197
-14364	577.659761	3819.629404
-14360	578.584489	3819.067029
-14356	579.513978	3818.498320
-14352	580.445985	3817.948955
-14348	581.383607	3817.291914
-14344	582.310106	3816.777470
-14340	583.244768	3816.131355
-14336	584.204332	3815.448302
-14332	585.096834	3814.977151
-14328	586.023958	3814.406273
-14324	586.979539	3813.805932
-14320	587.929002	3813.182328
-14316	588.828416	3812.593205
-14312	589.774690	3812.085995
-14308	590.685396	3811.468614
-14304	591.624300	3810.953537
-14300	592.531343	3810.266000
-14296	593.506364	3809.700622
-14292	594.436265	3809.161387
-14288	595.340074	3808.579468
-14284	596.275346	3807.897432
-14280	597.194704	3807.440525
-14276	598.137315	3806.806197
-14272	599.055604	3806.190824
-14268	599.994768	3805.563547
-14264	600.923067	3805.037057
-14260	601.847017	3804.470595
-14256	602.775239	3803.933706
-14252	603.704408	3803.249119
-14248	604.621004	3802.656690
-14244	605.535448	3802.150383
-14240	606.487154	3801.550599
-14236	607.406557	3800.840114
-14232	608.291048	3800.363709
-14228	609.246065	3799.819546
-14224	610.197069	3799.159978
-14220	611.099916	3798.570919
-14216	612.022188	3797.978637
-14212	612.945909	3797.518324
-14208	613.868806	3796.801230
-14204	614.765825	3796.243605
-14200	615.706880	3795.663414
-14196	616.635499	3795.118748
-14192	617.561738	3794.396068
-14188	618.454347	3793.943527
-14184	619.368776	3793.332758
-14180	620.325761	3792.760168
-14176	621.228807	3792.115546
-14172	622.128648	3791.592846
-14168	623.074586	3790.945416
-14164	623.987657	3790.380058
-14160	624.910326	3789.718273
-14156	625.835908	3789.215302
-14152	626.743318	3788.552207
-14148	627.665010	3788.068966
-14144	628.569047	3787.383996
-14140	629.483919	3786.892821
-14136	630.396043	3786.192429
-14132	631.310884	3785.651870
-14128	632.232149	3785.119501
-14124	633.152193	3784.484377
-14120	634.047975	3783.963332
-14116	634.951890	3783.268155
-14112	635.898637	3782.709960
-14108	636.785936	3782.141491
-14104	637.683763	3781.567326
-14100	638.627275	3780.901531
-14096	639.512849	3780.380933
-14092	640.414522	3779.796921
-14088	641.338930	3779.209460
-14084	642.257967	3778.557265
-14080	643.148851	3777.997565
-14076	644.062318	3777.420093
-14072	644.947908	3776.917861
-14068	645.888170	3776.285397
-14064	646.772523	3775.721165
-14060	647.692781	3775.130942
-14056	648.606050	3774.520033
-14052	649.494432	3773.926958
-14048	650.407472	3773.332911
-14044	651.339983	3772.743939
-14040	652.254030	3772.149377
-14036	653.140764	3771.520836
-14032	654.042589	3770.964583
-14028	654.962465	3770.336918
-14024	655.872224	3769.768682
-14020	656.781236	3769.086092
-14016	657.670610	3768.582148
-14012	658.573274	3768.016698
-14008	659.470705	3767.365822
-14004	660.396272	3766.751237
-14000	661.290727	3766.181495
-13996	662.167192	3765.596558
-13992	663.077516	3764.927881
